Name,Company,Role,Tier,LinkedIn URL,Email,Touch 1 Date,Template Used,Touch 2 Date,Hook Note,Touch 3 Date,Status,Notes
,DSP Quant Fund,Head of Quant / Head of Research,1,,,,,,,,Prospect,"Search: ""DSP Quant Fund"" quant OR research OR data"
,Nippon India Quant,Head of Quant / Factor Models,1,,,,,,,,Prospect,"Search: ""Nippon India"" quant OR factor"
,Edelweiss AIF,Head of Quant Strategies,1,,,,,,,,Prospect,"Search: ""Edelweiss"" AIF quant OR systematic"
Krishnan V R,Marcellus Investment Managers,Head of Quantitative Research,1,https://www.linkedin.com/in/krishnan-v-r-818623a/,,,,,,,Prospect,"Found via marcellus.in/our-team/ + LinkedIn search 2026-08-19 (public web research, not yet LinkedIn-verified live/current — confirm on LinkedIn before Touch 1). ~10yr equity/fixed-income research, ex-Morningstar/D.E. Shaw/GSAM, CFA."
,Quantum AMC,Head of Quant,1,,,,,,,,Prospect,"Search: ""Quantum AMC"" quant OR active"
,Axis AMC,Head of Systematic / Factor Allocation,1,,,,,,,,Prospect,"Search: ""Axis AMC"" systematic OR quant"
,Motilal Oswal AMC,Head of Quant / Momentum Strategies,1,,,,,,,,Prospect,"Search: ""Motilal Oswal AMC"" quant"
,White Oak Capital,Head of Systematic AIF,1,,,,,,,,Prospect,"Search: ""White Oak Capital"" systematic OR quant"
,Smallcase Technologies,Data Engineer / Data Lead,2,,,,,,,,Prospect,"Search: ""Smallcase"" data engineer"
,Streak (AlgoLab),Product Lead,2,,,,,,,,Prospect,"Search: ""Streak"" AlgoLab product"
,Sensibull,Quant / Data Lead,2,,,,,,,,Prospect,"Search: ""Sensibull"" quant OR data"
,Dhan,Data Engineering Lead,2,,,,,,,,Prospect,"Search: ""Dhan"" data engineering"
,Fyers,Algo Team Lead,2,,,,,,,,Prospect,"Search: ""Fyers"" algo OR Kite Connect"
,AlgoTest,Product Lead,2,,,,,,,,Prospect,"Search: ""AlgoTest"" product"
,INDmoney,Data Team Lead,2,,,,,,,,Prospect,"Search: ""INDmoney"" data team"
,Kotak Securities Research,Quant Analyst,3,,,,,,,,Prospect,"Search: ""Kotak Securities"" quant analyst"
,ICICI Securities Research,Data Engineer,3,,,,,,,,Prospect,"Search: ""ICICI Securities"" data engineer"
,Emkay Global,Quant Researcher,3,,,,,,,,Prospect,"Search: ""Emkay Global"" quant researcher"
,Spark Capital,Research Analyst,3,,,,,,,,Prospect,"Search: ""Spark Capital"" research analyst"
,JM Financial,Equity Research Head,3,,,,,,,,Prospect,"Search: ""JM Financial"" equity research head"
