issuer_id,issuer_name,sector,market_cap_category,country
1,20 MICRONS LIMITED,,,India
2,21ST CENTURY MANAGEMENT SERVICES LIMITED,,,India
3,360 ONE WAM LIMITED,,,India
4,3B BLACKBIO DX LIMITED,,,India
5,3I INFOTECH LIMITED,,,India
6,3M INDIA LIMITED,,,India
7,3P LAND HOLDINGS LIMITED,,,India
8,5PAISA CAPITAL LIMITED,,,India
9,63 MOONS TECHNOLOGIES LIMITED,,,India
10,A2Z INFRA ENGINEERING LIMITED,,,India
11,AAA TECHNOLOGIES LIMITED,,,India
12,AADHAR HOUSING FINANCE LIMITED,,,India
13,AAKASH EXPLORATION SERVICES LIMITED,,,India
14,AAREY DRUGS AND PHARMACEUTICALS LIMITED,,,India
15,AARNAV FASHIONS LIMITED,,,India
16,AARON INDUSTRIES LIMITED,,,India
17,AARTECH SOLONICS LIMITED,,,India
18,AARTI DRUGS LIMITED,,,India
19,AARTI INDUSTRIES LIMITED,,,India
20,AARTI PHARMALABS LIMITED,,,India
21,AARTI SURFACTANTS LIMITED,,,India
22,AARVI ENCON LIMITED,,,India
23,AASTHA SPINTEX LIMITED,,,India
24,AAVAS FINANCIERS LIMITED,,,India
25,ABAN OFFSHORE LIMITED,,,India
26,ABANS ENTERPRISES LIMITED,,,India
27,ABB INDIA LIMITED,,,India
28,ABBOTT INDIA LIMITED,,,India
29,ADITYA BIRLA CAPITAL LIMITED,,,India
30,A B COTSPIN INDIA LIMITED,,,India
31,ALLIED BLENDERS AND DISTILLERS LIMITED,,,India
32,ADITYA BIRLA FASHION AND RETAIL LIMITED,,,India
33,A B INFRABUILD LIMITED,,,India
34,ADITYA BIRLA LIFESTYLE BRANDS LIMITED,,,India
35,ABM INTERNATIONAL LIMITED,,,India
36,ABM KNOWLEDGEWARE LIMITED,,,India
37,ADITYA BIRLA REAL ESTATE LIMITED,,,India
38,ADITYA BIRLA SUN LIFE AMC LIMITED,,,India
39,ACC LIMITED,,,India
40,ACCELYA SOLUTIONS INDIA LIMITED,,,India
41,ACCURACY SHIPPING LIMITED,,,India
42,ACTION CONSTRUCTION EQUIPMENT LIMITED,,,India
43,ACE INTEGRATED SOLUTIONS LIMITED,,,India
44,AUTOMOBILE CORPORATION OF GOA LIMITED,,,India
45,ARCHEAN CHEMICAL INDUSTRIES LIMITED,,,India
46,ANDHRA CEMENTS LIMITED,,,India
47,ACME SOLAR HOLDINGS LIMITED,,,India
48,ACS TECHNOLOGIES LIMITED,,,India
