security_id,as_of_date,cumulative_split_adjustment,cumulative_bonus_adjustment,cumulative_dividend_adjustment,total_adjustment_factor,_warnings
395.0,2026-06-17,1.0,0.75,1.0,0.75,
502.0,2026-08-25,0.1,1.0,1.0,0.1,
527.0,2026-06-12,1.0,0.75,1.0,0.75,
547.0,2026-06-19,0.1,1.0,1.0,0.1,
637.0,2026-06-05,0.1,1.0,1.0,0.1,
839.0,2026-07-10,1.0,0.75,1.0,0.75,
841.0,2026-08-21,1.0,0.33333333,1.0,0.33333333,
899.0,2026-07-28,1.0,0.71428571,1.0,0.71428571,
1134.0,2026-07-24,0.2,1.0,1.0,0.2,
1219.0,2026-08-18,0.5,1.0,1.0,0.5,
1240.0,2026-06-24,1.0,0.09090909,1.0,0.09090909,
1251.0,2026-07-03,0.2,1.0,1.0,0.2,
1409.0,2026-07-03,0.2,1.0,1.0,0.2,
1508.0,2026-07-10,0.1,1.0,1.0,0.1,
1518.0,2026-07-31,0.5,1.0,1.0,0.5,
1731.0,2026-07-21,0.4,1.0,1.0,0.4,
2271.0,2026-08-24,0.5,1.0,1.0,0.5,
2281.0,2026-08-05,0.1,1.0,1.0,0.1,
2345.0,2026-06-04,1.0,0.66666667,1.0,0.66666667,
2558.0,2026-06-24,1.0,0.16666667,1.0,0.16666667,
