security_id,as_of_date,cumulative_split_adjustment,cumulative_bonus_adjustment,cumulative_dividend_adjustment,total_adjustment_factor,_warnings
142.0,2026-06-03,1.0,0.5,1.0,0.5,
395.0,2026-06-17,1.0,0.75,1.0,0.75,
502.0,2026-08-25,0.1,1.0,1.0,0.1,
527.0,2026-06-12,1.0,0.75,1.0,0.75,
547.0,2026-06-19,0.1,1.0,1.0,0.1,
636.0,2026-06-05,0.1,1.0,1.0,0.1,
838.0,2026-07-10,1.0,0.75,1.0,0.75,
840.0,2026-08-21,1.0,0.33333333,1.0,0.33333333,
898.0,2026-07-28,1.0,0.71428571,1.0,0.71428571,
1133.0,2026-07-24,0.2,1.0,1.0,0.2,
1217.0,2026-08-18,0.5,1.0,1.0,0.5,
1238.0,2026-06-24,1.0,0.09090909,1.0,0.09090909,
1249.0,2026-07-03,0.2,1.0,1.0,0.2,
1407.0,2026-07-03,0.2,1.0,1.0,0.2,
1506.0,2026-07-10,0.1,1.0,1.0,0.1,
1516.0,2026-07-31,0.5,1.0,1.0,0.5,
1729.0,2026-07-21,0.4,1.0,1.0,0.4,
2269.0,2026-08-24,0.5,1.0,1.0,0.5,
2279.0,2026-08-05,0.1,1.0,1.0,0.1,
2343.0,2026-06-04,1.0,0.66666667,1.0,0.66666667,
2555.0,2026-06-24,1.0,0.16666667,1.0,0.16666667,
